"","Date","WL","Cond","NO3","NH4","Flow","NO3E","NH4E","water","NO3C","NH4C","waterin","waterin2","watercm2"
"16485",2017-01-01 19:15:00,1.54,"OFF",0.03,0.5764399065,0,0,0,0,0,0,0,0,0
"16486",2017-01-01 19:30:00,1.539,"OFF",0.03,0.598886415,0,0,0,0,0,0,0,0,0
"16487",2017-01-01 19:45:00,1.54,"OFF",0.03,0.598582152,0,0,0,0,0,0,0,0,0
"16488",2017-01-01 20:00:00,1.542,"OFF",0.03,0.598277889,0,0,0,0,0,0,0,0,0
"16489",2017-01-01 20:15:00,1.538,"OFF",0.03,0.6169130955,0,0,0,0,0,0,0,0,0
"16490",2017-01-01 20:30:00,1.54,"OFF",0.03,0.635548302,0,0,0,0,0,0,0,0,0
"16491",2017-01-01 20:45:00,1.539,"OFF",0.03,0.634250341,0,0,0,0,0,0,0,0,0
"16492",2017-01-01 21:00:00,1.537,"OFF",0.03,0.63295238,0,0,0,0,0,0,0,0,0
"16493",2017-01-01 21:15:00,1.54,"OFF",0.03,0.6397321855,0,0,0,0,0,0,0,0,0
"16494",2017-01-01 21:30:00,1.541,"OFF",0.03,0.646511991,0,0,0,0,0,0,0,0,0
"16495",2017-01-01 21:45:00,1.541,"OFF",0.03,0.637246874,0,0,0,0,0,0,0,0,0
"16496",2017-01-01 22:00:00,1.539,"OFF",0.03,0.627981757,0,0,0,0,0,0,0,0,0
"16497",2017-01-01 22:15:00,1.54,"OFF",0.03,0.6435711635,0,0,0,0,0,0,0,0,0
"16498",2017-01-01 22:30:00,1.539,"OFF",0.03,0.65916057,0,0,0,0,0,0,0,0,0
"16499",2017-01-01 22:45:00,1.54,"OFF",0.03,0.6488435825,0,0,0,0,0,0,0,0,0
"16500",2017-01-01 23:00:00,1.539,"OFF",0.03,0.638526595,0,0,0,0,0,0,0,0,0
"16501",2017-01-01 23:15:00,1.54,"OFF",0.03,0.6403482075,0,0,0,0,0,0,0,0,0
"16502",2017-01-01 23:30:00,1.541,"OFF",0.03,0.64216982,0,0,0,0,0,0,0,0,0
"16503",2017-01-01 23:45:00,1.541,"OFF",0.03,0.646219882,0,0,0,0,0,0,0,0,0
"16504",2017-01-02,1.54,"OFF",0.03,0.650269944,0,0,0,0,0,0,0,0,0
"16505",2017-01-02 00:15:00,1.54,"OFF",0.03,0.655443654,0,0,0,0,0,0,0,0,0
"16506",2017-01-02 00:30:00,1.54,"OFF",0.03,0.660617364,0,0,0,0,0,0,0,0,0
"16507",2017-01-02 00:45:00,1.541,"OFF",0.03,0.666500306,0,0,0,0,0,0,0,0,0
"16508",2017-01-02 01:00:00,1.544,"OFF",0.03,0.672383248,0,0,0,0,0,0,0,0,0
"16509",2017-01-02 01:15:00,1.541,"OFF",0.03,0.67178342,0,0,0,0,0,0,0,0,0
"16510",2017-01-02 01:30:00,1.542,"OFF",0.03,0.671183592,0,0,0,0,0,0,0,0,0
"16511",2017-01-02 01:45:00,1.542,"OFF",0.03,0.6719797555,0,0,0,0,0,0,0,0,0
"16512",2017-01-02 02:00:00,1.541,"OFF",0.03,0.672775919,0,0,0,0,0,0,0,0,0
"16513",2017-01-02 02:15:00,1.542,"OFF",0.03,0.6777986525,0,0,0,0,0,0,0,0,0
"16514",2017-01-02 02:30:00,1.543,"OFF",0.03,0.682821386,0,0,0,0,0,0,0,0,0
"16515",2017-01-02 02:45:00,1.543,"OFF",0.03,0.6841346955,0,0,0,0,0,0,0,0,0
