Date,NO3,NH4
7/18/2016 3:59,0.2779586,0.079835787
7/18/2016 4:29,0.2809064,0.090937284
7/18/2016 4:59,0.3300364,0.094636676
7/18/2016 5:29,0.2789412,0.100682002
7/18/2016 5:59,0.2789412,0.110996297
7/18/2016 6:29,0.2759934,0.11804666
7/18/2016 6:59,0.281889,0.11280222
7/18/2016 7:29,0.3025236,0.113156578
7/18/2016 7:59,0.2602718,0.10719523
7/18/2016 8:29,0.3202104,0.098428429
7/18/2016 8:59,0.321193,0.095332538
7/18/2016 9:29,0.2887672,0.091848721
7/18/2016 9:59,0.2946628,0.089204976
7/18/2016 10:29,0.3005584,0.090901419
7/18/2016 10:59,0.2946628,0.089242784
7/18/2016 11:29,0.3025236,0.091015471
7/18/2016 11:59,0.2533936,0.090004138
7/18/2016 12:29,0.2691152,0.093572349
7/18/2016 12:59,0.2710804,0.097396014
7/18/2016 13:29,0.2533936,0.099718991
7/18/2016 13:59,0.2396372,0.102366312
7/18/2016 14:29,0.2337416,0.107255455
7/18/2016 14:59,0.237672,0.107217721
7/18/2016 15:29,0.2209678,0.107499181
7/18/2016 15:59,0.232759,0.105609214
7/18/2016 16:29,0.2504458,0.107420817
7/18/2016 16:59,0.2366894,0.099263675
7/18/2016 17:29,0.2651848,0.105781788
7/18/2016 17:59,0.252411,0.108600761
7/18/2016 18:29,0.2700978,0.103680738
7/18/2016 18:59,0.2484806,0.109494673
7/18/2016 19:29,0.286802,0.102853034
7/18/2016 19:59,0.2976106,0.093749454
7/18/2016 20:29,0.3182452,0.08011058
7/18/2016 20:59,0.331019,0.082307463
7/18/2016 21:29,0.340845,0.086994022
7/18/2016 21:59,0.306454,0.096409622
7/18/2016 22:29,0.2710804,0.113349715
7/18/2016 22:59,0.2317764,0.128645726
7/18/2016 23:29,0.2258808,0.141943457
7/18/2016 23:59,0.2150722,0.150941249
7/19/2016 0:29,0.2042636,0.171577201
7/19/2016 0:59,0.1865768,0.178373915
7/19/2016 1:29,0.1659422,0.187196226
7/19/2016 1:59,0.163977,0.194402772
7/19/2016 2:29,0.1561162,0.205005211
7/19/2016 2:59,0.1629944,0.202423986
7/19/2016 3:29,0.1895246,0.191728065
7/19/2016 3:59,0.2013158,0.191687114
7/19/2016 4:29,0.1826464,0.189256619
7/19/2016 4:59,0.2140896,0.179959036
7/19/2016 5:29,0.2140896,0.178673302
7/19/2016 5:59,0.2140896,0.180973557
7/19/2016 6:29,0.2681326,0.179695226
7/19/2016 6:59,0.2160548,0.182173674
7/19/2016 7:29,0.2111418,0.177234172
7/19/2016 7:59,0.21802,0.16948967
7/19/2016 8:29,0.2268634,0.164534499
7/19/2016 8:59,0.232759,0.161511831
7/19/2016 9:29,0.2337416,0.138628923
7/19/2016 9:59,0.2681326,0.119652009
7/19/2016 10:29,0.252411,0.114371303
7/19/2016 10:59,0.2563414,0.120494976
7/19/2016 11:29,0.2514284,0.109283316
7/19/2016 11:59,0.26715,0.115606601
7/19/2016 12:29,0.2661674,0.10762381
7/19/2016 12:59,0.2337416,0.108709841
7/19/2016 13:29,0.2494632,0.108195649
7/19/2016 13:59,0.2465154,0.112397971
7/19/2016 14:29,0.242585,0.10863991
7/19/2016 14:59,0.2396372,0.117219171
7/19/2016 15:29,0.2209678,0.122029603
7/19/2016 15:59,0.2258808,0.120941146
7/19/2016 16:29,0.2445502,0.111454817
7/19/2016 16:59,0.227846,0.112672772
7/19/2016 17:29,0.2288286,0.109600218
7/19/2016 17:59,0.2307938,0.094326833
7/19/2016 18:29,0.2632196,0.091636009
7/19/2016 18:59,0.281889,0.081469055
7/19/2016 19:29,0.2897498,0.075508066
7/19/2016 19:59,0.2465154,0.077580668
7/19/2016 20:29,0.2307938,0.086218128
7/19/2016 20:59,0.232759,0.092468371
7/19/2016 21:29,0.2661674,0.091258335
7/19/2016 21:59,0.2455328,0.087960426
7/19/2016 22:29,0.2366894,0.092447319
7/19/2016 22:59,0.2750108,0.082169614
7/19/2016 23:29,0.262237,0.078963733
7/19/2016 23:59,0.2455328,0.080845564
7/20/2016 0:29,0.291715,0.074433506
7/20/2016 0:59,0.2740282,0.075153804
7/20/2016 1:29,0.252411,0.072726583
7/20/2016 1:59,0.2691152,0.07579985
7/20/2016 2:29,0.2828716,0.07605459
7/20/2016 2:59,0.2858194,0.074632877
7/20/2016 3:29,0.272063,0.080476099
7/20/2016 3:59,0.2583066,0.085676162
7/20/2016 4:29,0.2484806,0.085210395
7/20/2016 4:59,0.2553588,0.076394817
